Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
2026-01-12 16:29:11.123,25.3,1.03,4.677,47223,153.77,0.01,1615,2438,1747,0,ON
2026-01-12 16:29:11.801,25.4,1.05,4.675,47223,153.66,0.11,1627,2451,1755,0,ON
2026-01-12 16:29:12.462,25.4,1.08,4.672,47223,153.56,0.22,1644,2470,1768,0,ON
2026-01-12 16:29:13.145,25.3,1.05,4.675,47223,153.44,0.33,1677,2544,1819,0,ON
2026-01-12 16:29:13.805,25.4,1.07,4.672,47223,153.35,0.43,1634,2459,1760,0,ON
2026-01-12 16:29:14.484,25.3,1.08,4.671,47223,153.23,0.54,1656,2492,1749,0,ON
2026-01-12 16:29:15.146,25.3,1.05,4.675,47223,153.12,0.66,1653,2485,1778,0,ON
2026-01-12 16:29:15.825,25.3,1.07,4.673,47223,153.02,0.75,1649,2478,1777,0,ON
2026-01-12 16:29:16.487,25.4,1.06,4.673,47223,152.91,0.87,1647,2485,1779,0,ON
2026-01-12 16:29:17.168,25.4,1.06,4.674,47223,152.80,0.97,1642,2459,1764,0,ON
2026-01-12 16:29:17.829,25.4,1.08,4.671,47223,152.69,1.09,1636,2473,1776,0,ON
2026-01-12 16:29:18.513,25.4,1.02,4.679,47223,152.59,1.18,1634,2459,1763,0,ON
2026-01-12 16:29:19.172,25.4,1.04,4.676,47223,152.48,1.30,1680,2527,1809,0,ON
2026-01-12 16:29:19.856,25.4,1.11,4.667,47223,152.38,1.40,1671,2510,1798,0,ON
2026-01-12 16:29:20.523,25.4,1.04,4.677,47223,152.26,1.51,1637,2472,1771,0,ON
2026-01-12 16:29:21.202,25.4,1.06,4.673,47223,152.17,1.61,1688,2546,1804,0,ON
2026-01-12 16:29:21.867,25.4,1.09,4.670,47223,152.05,1.73,1635,2467,1770,0,ON
2026-01-12 16:29:22.554,25.4,1.05,4.675,47223,151.94,1.84,1639,2468,1770,0,ON
2026-01-12 16:29:23.213,25.4,1.07,4.673,47223,151.85,1.93,1662,2495,1789,0,ON
2026-01-12 16:29:23.895,25.4,1.06,4.674,47223,151.73,2.05,1636,2466,1770,0,ON
2026-01-12 16:29:24.553,25.4,1.04,4.677,47223,151.62,2.16,1636,2464,1766,0,ON
