Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
2026-01-12 17:38:01.845,27.2,1.45,4.623,47223,155.84,0.02,1476,2236,1619,0,ON
2026-01-12 17:38:02.505,27.2,1.44,4.624,47223,155.75,0.11,1414,2160,1565,0,ON
2026-01-12 17:38:03.189,27.1,1.45,4.623,47223,155.63,0.23,1470,2215,1605,0,ON
2026-01-12 17:38:03.856,27.2,1.43,4.626,47223,155.52,0.34,1476,2241,1623,0,ON
2026-01-12 17:38:04.536,27.2,1.44,4.624,47223,155.42,0.44,1444,2197,1590,0,ON
2026-01-12 17:38:05.199,27.2,1.47,4.621,47223,155.31,0.55,1544,2310,1671,0,ON
2026-01-12 17:38:05.885,27.1,1.44,4.625,47223,155.20,0.66,1539,2320,1677,0,ON
2026-01-12 17:38:06.548,27.2,1.43,4.626,47223,155.08,0.77,1487,2251,1630,0,ON
2026-01-12 17:38:07.231,27.2,1.45,4.623,47223,154.99,0.87,1547,2332,1685,0,ON
2026-01-12 17:38:07.891,27.2,1.45,4.623,47223,154.87,0.98,1466,2224,1609,0,ON
2026-01-12 17:38:08.572,27.2,1.45,4.623,47223,154.77,1.09,1465,2220,1607,0,ON
2026-01-12 17:38:09.231,27.2,1.44,4.624,47223,154.66,1.20,1524,2299,1663,0,ON
2026-01-12 17:38:09.910,27.2,1.44,4.624,47223,154.56,1.30,1483,2243,1623,0,ON
2026-01-12 17:38:10.572,27.2,1.45,4.623,47223,154.46,1.40,1487,2247,1628,0,ON
2026-01-12 17:38:11.257,27.2,1.44,4.625,47223,154.35,1.51,1508,2274,1645,0,ON
2026-01-12 17:38:11.917,27.2,1.43,4.626,47223,154.24,1.62,1475,2244,1624,0,ON
2026-01-12 17:38:12.598,27.2,1.45,4.623,47223,154.14,1.72,1465,2227,1613,0,ON
2026-01-12 17:38:13.264,27.2,1.43,4.625,47223,154.02,1.84,1498,2273,1645,0,ON
2026-01-12 17:38:13.944,27.2,1.43,4.626,47223,153.90,1.95,1485,2250,1630,0,ON
2026-01-12 17:38:14.614,27.2,1.45,4.623,47223,153.81,2.05,1549,2338,1691,0,ON
2026-01-12 17:38:15.297,27.2,1.44,4.624,47223,153.70,2.16,1528,2300,1665,0,ON
2026-01-12 17:38:15.958,27.3,1.44,4.624,47223,153.60,2.26,1495,2261,1639,0,ON
2026-01-12 17:38:16.645,27.3,1.44,4.625,47223,153.48,2.38,1517,2287,1666,0,ON
2026-01-12 17:38:17.309,27.3,1.44,4.624,47223,153.37,2.49,1497,2251,1630,0,ON
2026-01-12 17:38:17.989,27.3,1.45,4.623,47223,153.27,2.58,1510,2284,1653,0,ON
2026-01-12 17:38:18.652,27.3,1.44,4.624,47223,153.16,2.70,1524,2296,1661,0,ON
2026-01-12 17:38:19.336,27.3,1.45,4.623,47223,153.06,2.80,1485,2252,1630,0,ON
2026-01-12 17:38:20.004,27.3,1.48,4.619,47223,152.95,2.90,1527,2305,1670,0,ON
2026-01-12 17:38:20.685,27.4,1.47,4.621,47223,152.85,3.01,1541,2315,1674,0,ON
2026-01-12 17:38:21.349,27.3,1.45,4.624,47223,152.73,3.13,1490,2243,1626,0,ON
2026-01-12 17:38:22.033,27.4,1.44,4.624,47223,152.62,3.24,1546,2328,1686,0,ON
2026-01-12 17:38:22.694,27.4,1.45,4.623,47223,152.52,3.34,1520,2296,1665,0,ON
2026-01-12 17:38:23.378,27.4,1.45,4.622,47223,152.41,3.45,1488,2249,1629,0,ON
2026-01-12 17:38:24.045,27.4,1.44,4.624,47223,152.32,3.54,1529,2299,1665,0,ON
2026-01-12 17:38:24.727,27.4,1.45,4.623,47223,152.20,3.66,1497,2256,1634,0,ON
2026-01-12 17:38:25.387,27.4,1.49,4.617,47223,152.10,3.76,1530,2304,1669,0,ON
2026-01-12 17:38:26.066,27.4,1.43,4.625,47223,151.98,3.88,1513,2272,1645,0,ON
2026-01-12 17:38:26.729,27.4,1.45,4.623,47223,151.87,3.99,1541,2323,1682,0,ON
2026-01-12 17:38:27.409,27.4,1.45,4.623,47223,151.77,4.09,1522,2288,1658,0,ON
2026-01-12 17:38:28.071,27.4,1.43,4.626,47223,151.66,4.20,1540,2326,1683,0,ON
2026-01-12 17:38:28.754,27.4,1.42,4.626,47223,151.56,4.29,1544,2316,1678,0,ON
2026-01-12 17:38:29.417,27.4,1.44,4.625,47223,151.45,4.41,1499,2262,1638,0,ON
2026-01-12 17:38:30.097,27.4,1.45,4.623,47223,151.36,4.50,1497,2266,1640,0,ON
2026-01-12 17:38:30.758,27.4,1.46,4.622,47223,151.24,4.62,1555,2325,1685,0,ON
2026-01-12 17:38:31.445,27.4,1.46,4.622,47223,151.13,4.72,1494,2259,1635,0,ON
2026-01-12 17:38:32.108,27.5,1.44,4.624,47223,151.03,4.83,1525,2299,1665,0,ON
2026-01-12 17:38:32.790,27.5,1.46,4.622,47223,150.91,4.95,1520,2302,1668,0,ON
2026-01-12 17:38:33.456,27.5,1.46,4.622,47223,150.81,5.04,1552,2336,1694,0,ON
2026-01-12 17:38:34.137,27.5,1.47,4.620,47223,150.70,5.15,1541,2316,1680,0,ON
2026-01-12 17:38:34.801,27.5,1.48,4.619,47223,150.60,5.26,1513,2277,1649,0,ON
2026-01-12 17:38:35.487,27.5,1.46,4.621,47223,150.49,5.37,1573,2359,1709,0,ON
2026-01-12 17:38:36.151,27.5,1.47,4.621,47223,150.39,5.47,1492,2254,1631,0,ON
2026-01-12 17:38:36.838,27.5,1.46,4.622,47223,150.28,5.58,1513,2279,1652,0,ON
2026-01-12 17:38:37.497,27.6,1.45,4.623,47223,150.17,5.69,1559,2348,1700,0,ON
2026-01-12 17:38:38.178,27.5,1.47,4.621,47223,150.06,5.79,1528,2320,1682,0,ON
2026-01-12 17:38:38.841,27.6,1.46,4.622,47223,149.95,5.90,1564,2348,1701,0,ON
2026-01-12 17:38:39.522,27.6,1.45,4.623,47223,149.85,6.01,1537,2310,1676,0,ON
2026-01-12 17:38:40.189,27.6,1.47,4.621,47223,149.74,6.12,1573,2386,1731,0,ON
2026-01-12 17:38:40.875,27.6,1.47,4.621,47223,149.64,6.22,1550,2323,1683,0,ON
2026-01-12 17:38:41.537,27.6,1.45,4.623,47223,149.52,6.34,1516,2277,1651,0,ON
2026-01-12 17:38:42.218,27.6,1.48,4.619,47223,149.41,6.45,1517,2290,1661,0,ON
2026-01-12 17:38:42.884,27.6,1.45,4.623,47223,149.31,6.55,1573,2362,1709,0,ON
2026-01-12 17:38:43.594,27.6,1.45,4.623,47223,149.20,6.66,1564,2348,1703,0,ON
2026-01-12 17:38:44.258,27.6,1.47,4.620,47223,149.07,6.78,1561,2336,1694,0,ON
2026-01-12 17:38:44.948,27.6,1.46,4.622,47223,148.98,6.88,1555,2343,1700,0,ON
2026-01-12 17:38:45.607,27.6,1.47,4.620,47223,148.86,6.99,1528,2302,1670,0,ON
2026-01-12 17:38:46.291,27.7,1.49,4.618,47223,148.77,7.09,1578,2364,1713,0,ON
2026-01-12 17:38:46.960,27.6,1.45,4.623,47223,148.65,7.20,1499,2254,1634,0,ON
2026-01-12 17:38:47.640,27.6,1.48,4.619,47223,148.54,7.32,1540,2314,1675,0,ON
2026-01-12 17:38:48.303,27.6,1.47,4.621,47223,148.43,7.42,1574,2355,1709,0,ON
2026-01-12 17:38:48.984,27.6,1.48,4.620,47223,148.33,7.53,1511,2276,1650,0,ON
2026-01-12 17:38:49.650,27.6,1.47,4.621,47223,148.22,7.64,1551,2327,1688,0,ON
2026-01-12 17:38:50.331,27.6,1.46,4.621,47223,148.11,7.75,1571,2356,1709,0,ON
2026-01-12 17:38:50.992,27.7,1.46,4.622,47223,148.01,7.85,1559,2350,1704,0,ON
2026-01-12 17:38:51.672,27.7,1.48,4.620,47060,147.90,7.96,1563,2340,1697,0,ON
2026-01-12 17:38:52.332,27.7,1.46,4.622,47060,147.80,8.06,1582,2387,1734,0,ON
2026-01-12 17:38:53.017,27.7,1.77,4.581,46588,147.69,8.17,1527,2302,1670,0,ON
2026-01-12 17:38:53.702,27.7,1.77,4.581,46588,147.57,8.29,1561,2336,1695,0,ON
2026-01-12 17:38:54.407,27.7,1.79,4.579,46337,147.47,8.39,1520,2279,1655,0,ON
2026-01-12 17:38:55.083,27.8,1.79,4.578,46337,147.35,8.51,1561,2340,1699,0,ON
2026-01-12 17:38:55.780,27.8,1.84,4.572,45991,147.24,8.62,1535,2299,1668,0,ON
2026-01-12 17:38:56.451,27.8,1.79,4.579,45991,147.13,8.73,1598,2400,1742,0,ON
2026-01-12 17:38:57.142,27.8,1.78,4.580,45649,147.03,8.83,1519,2286,1658,0,ON
2026-01-12 17:38:57.802,27.8,1.51,4.615,45649,146.91,8.95,1570,2361,1712,0,ON
2026-01-12 17:38:58.484,27.8,1.50,4.617,45218,146.81,9.05,1533,2302,1672,0,ON
2026-01-12 17:38:59.155,27.8,1.49,4.618,45218,146.70,9.16,1550,2321,1684,0,ON
2026-01-12 17:38:59.834,27.8,1.46,4.622,44830,146.58,9.27,1559,2334,1694,0,ON
2026-01-12 17:39:00.496,27.8,1.47,4.621,44830,146.49,9.37,1577,2351,1706,0,ON
2026-01-12 17:39:01.181,27.8,1.47,4.620,44648,146.37,9.49,1543,2308,1676,0,ON
2026-01-12 17:39:01.841,27.8,1.48,4.619,44648,146.28,9.58,1570,2366,1716,0,ON
2026-01-12 17:39:02.524,27.8,1.47,4.620,44285,146.16,9.70,1591,2367,1719,0,ON
2026-01-12 17:39:03.187,27.8,1.48,4.619,44285,146.04,9.82,1515,2263,1640,0,ON
2026-01-12 17:39:03.867,27.8,1.47,4.621,44000,145.95,9.91,1574,2362,1713,0,ON
2026-01-12 17:39:04.528,27.9,1.47,4.620,44000,145.83,10.03,1560,2332,1692,0,ON
2026-01-12 17:39:05.211,27.8,1.48,4.619,43628,145.73,10.13,1583,2374,1723,0,ON
2026-01-12 17:39:05.874,27.8,1.47,4.620,43628,145.61,10.25,1546,2307,1675,0,ON
2026-01-12 17:39:06.556,27.8,1.48,4.620,43313,145.51,10.34,1546,2314,1677,0,ON
2026-01-12 17:39:07.218,27.9,1.50,4.617,43313,145.40,10.46,1573,2357,1710,0,ON
2026-01-12 17:39:07.899,27.8,1.49,4.618,42951,145.30,10.55,1534,2289,1662,0,ON
2026-01-12 17:39:08.560,27.9,1.48,4.620,42951,145.19,10.67,1588,2378,1724,0,ON
2026-01-12 17:39:09.240,27.9,1.50,4.617,42695,145.09,10.76,1602,2387,1731,0,ON
2026-01-12 17:39:09.902,27.9,1.47,4.620,42695,144.98,10.88,1536,2290,1663,0,ON
2026-01-12 17:39:10.581,27.9,1.50,4.617,42442,144.88,10.98,1578,2360,1712,0,ON
2026-01-12 17:39:11.246,27.9,1.48,4.619,42442,144.76,11.09,1577,2363,1716,0,ON
2026-01-12 17:39:11.926,27.9,1.49,4.618,42042,144.65,11.21,1583,2364,1715,0,ON
2026-01-12 17:39:12.587,27.9,1.48,4.619,42042,144.55,11.31,1609,2405,1746,0,ON
2026-01-12 17:39:13.267,27.9,1.52,4.613,41746,144.44,11.42,1587,2373,1723,0,ON
2026-01-12 17:39:13.927,27.9,1.47,4.620,41746,144.34,11.52,1591,2376,1725,0,ON
2026-01-12 17:39:14.606,27.9,1.48,4.619,41501,144.22,11.64,1558,2332,1694,0,ON
2026-01-12 17:39:15.268,27.9,1.50,4.616,41501,144.13,11.73,1552,2324,1687,0,ON
2026-01-12 17:39:15.951,27.9,1.49,4.618,41114,144.01,11.85,1606,2394,1737,0,ON
2026-01-12 17:39:16.612,27.9,1.49,4.618,41114,143.91,11.94,1609,2404,1747,0,ON
2026-01-12 17:39:17.293,27.9,1.48,4.620,40875,143.79,12.06,1546,2309,1676,0,ON
2026-01-12 17:39:17.953,28.1,1.49,4.618,40875,143.68,12.17,1583,2362,1715,0,ON
2026-01-12 17:39:18.632,27.9,1.49,4.618,40591,143.58,12.28,1578,2362,1714,0,ON
2026-01-12 17:39:19.303,28.0,1.54,4.612,40591,143.47,12.39,1584,2371,1722,0,ON
2026-01-12 17:39:19.987,28.0,1.50,4.617,40310,143.37,12.49,1555,2326,1689,0,ON
2026-01-12 17:39:20.650,28.0,1.50,4.616,40310,143.26,12.60,1619,2417,1755,0,ON
2026-01-12 17:39:21.331,28.0,1.51,4.615,39987,143.16,12.70,1608,2396,1738,0,ON
2026-01-12 17:39:21.992,28.0,1.49,4.618,39987,143.04,12.82,1593,2374,1725,0,ON
2026-01-12 17:39:22.674,28.0,1.49,4.618,39621,142.95,12.91,1564,2345,1703,0,ON
2026-01-12 17:39:23.336,28.0,1.51,4.615,39621,142.83,13.03,1609,2399,1740,0,ON
2026-01-12 17:39:24.018,28.0,1.49,4.618,39396,142.72,13.14,1616,2413,1676,0,ON
2026-01-12 17:39:24.679,28.1,1.51,4.616,39396,142.62,13.24,1582,2360,1713,0,ON
2026-01-12 17:39:25.359,28.0,1.53,4.613,39128,142.51,13.35,1630,2423,1760,0,ON
2026-01-12 17:39:26.019,28.1,1.54,4.611,39128,142.41,13.44,1549,2297,1665,0,ON
2026-01-12 17:39:26.698,28.1,1.53,4.613,38819,142.30,13.56,1565,2325,1689,0,ON
2026-01-12 17:39:27.360,28.1,1.55,4.610,38819,142.20,13.66,1600,2399,1742,0,ON
2026-01-12 17:39:28.040,28.1,1.54,4.611,38513,142.09,13.77,1576,2357,1714,0,ON
2026-01-12 17:39:28.703,28.1,1.53,4.612,38513,141.98,13.87,1582,2362,1714,0,ON
2026-01-12 17:39:29.386,28.1,1.59,4.605,38212,141.87,13.98,1555,2298,1667,0,ON
2026-01-12 17:39:30.048,28.1,1.55,4.610,38212,141.75,14.10,1567,2336,1697,0,ON
2026-01-12 17:39:30.728,28.1,1.55,4.610,37956,141.65,14.21,1635,2432,1768,0,ON
2026-01-12 17:39:31.389,28.1,1.55,4.610,37956,141.54,14.32,1607,2389,1735,0,ON
2026-01-12 17:39:32.070,28.1,1.53,4.613,37661,141.44,14.42,1591,2366,1721,0,ON
2026-01-12 17:39:32.732,28.1,1.55,4.610,37661,141.33,14.53,1635,2429,1764,0,ON
2026-01-12 17:39:33.413,28.1,1.56,4.609,37368,141.23,14.63,1606,2387,1735,0,ON
2026-01-12 17:39:34.073,28.1,1.55,4.610,37368,141.12,14.74,1613,2402,1747,0,ON
2026-01-12 17:39:34.755,28.1,1.56,4.608,37163,141.01,14.84,1609,2396,1739,0,ON
2026-01-12 17:39:35.419,28.1,1.57,4.608,37163,140.90,14.96,1606,2419,1758,0,ON
2026-01-12 17:39:36.101,28.1,1.56,4.609,36836,140.80,15.06,1629,2415,1756,0,ON
2026-01-12 17:39:36.765,28.2,1.54,4.612,36836,140.69,15.17,1616,2424,1760,0,ON
2026-01-12 17:39:37.449,28.1,1.57,4.607,36514,140.58,15.28,1602,2372,1723,0,ON
2026-01-12 17:39:38.115,28.2,1.56,4.609,36514,140.48,15.38,1595,2364,1716,0,ON
2026-01-12 17:39:38.802,28.2,1.55,4.610,36395,140.36,15.50,1619,2416,1755,0,ON
2026-01-12 17:39:39.463,28.2,1.58,4.606,36395,140.26,15.59,1619,2408,1748,0,ON
2026-01-12 17:39:40.143,28.2,1.56,4.609,36039,140.15,15.71,1644,2439,1772,0,ON
2026-01-12 17:39:40.811,28.2,1.59,4.605,36039,140.03,15.82,1633,2418,1756,0,ON
2026-01-12 17:39:41.493,28.3,1.61,4.603,35728,139.93,15.93,1575,2335,1696,0,ON
2026-01-12 17:39:42.154,28.2,1.60,4.603,35728,139.81,16.05,1618,2397,1741,0,ON
2026-01-12 17:39:42.843,28.3,1.61,4.603,35459,139.72,16.14,1611,2400,1743,0,ON
2026-01-12 17:39:43.505,28.3,1.62,4.602,35459,139.61,16.25,1634,2439,1774,0,ON
2026-01-12 17:39:44.186,28.3,1.61,4.602,35230,139.50,16.35,1614,2388,1737,0,ON
2026-01-12 17:39:44.851,28.3,1.62,4.600,35230,139.39,16.47,1622,2406,1746,0,ON
2026-01-12 17:39:45.533,28.3,1.64,4.598,34967,139.29,16.56,1624,2416,1756,0,ON
2026-01-12 17:39:46.193,28.3,1.63,4.600,34967,139.18,16.68,1662,2452,1783,0,ON
2026-01-12 17:39:46.873,28.3,1.63,4.600,34742,139.06,16.80,1640,2433,1768,0,ON
2026-01-12 17:39:47.533,28.3,1.64,4.599,34742,138.96,16.89,1653,2442,1772,0,ON
2026-01-12 17:39:48.214,28.3,1.65,4.598,34559,138.85,17.01,1633,2418,1756,0,ON
2026-01-12 17:39:48.879,28.3,1.76,4.583,34559,138.75,17.11,1608,2386,1733,0,ON
2026-01-12 17:39:49.561,28.3,1.69,4.592,34302,138.64,17.22,1609,2386,1734,0,ON
2026-01-12 17:39:50.224,28.3,1.70,4.590,34302,138.53,17.33,1640,2443,1775,0,ON
