Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
2026-01-12 21:27:49.922,23.9,1.92,4.562,26772,147.53,0.02,1615,2393,1713,0,ON
2026-01-12 21:27:50.605,23.9,1.98,4.555,26722,147.43,0.12,1643,2434,1742,0,ON
2026-01-12 21:27:51.269,23.9,1.95,4.558,26722,147.32,0.23,1566,2324,1664,0,ON
2026-01-12 21:27:51.959,23.9,1.98,4.555,26469,147.22,0.33,1633,2417,1731,0,ON
2026-01-12 21:27:52.628,23.9,1.98,4.554,26469,147.10,0.45,1617,2395,1718,0,ON
2026-01-12 21:27:53.309,23.9,1.95,4.558,26172,147.01,0.54,1616,2399,1716,0,ON
2026-01-12 21:27:53.974,23.9,1.96,4.557,26172,146.89,0.65,1630,2412,1728,0,ON
2026-01-12 21:27:54.658,23.9,2.02,4.549,25975,146.77,0.78,1590,2361,1692,0,ON
2026-01-12 21:27:55.321,23.9,2.02,4.549,25975,146.67,0.87,1586,2364,1693,0,ON
2026-01-12 21:27:56.000,23.9,1.95,4.558,25685,146.56,0.98,1627,2425,1735,0,ON
2026-01-12 21:27:56.668,23.9,2.03,4.547,25685,146.46,1.09,1642,2422,1735,0,ON
2026-01-12 21:27:57.349,23.9,1.99,4.553,25495,146.35,1.20,1638,2421,1735,0,ON
2026-01-12 21:27:58.013,23.9,1.93,4.560,25495,146.24,1.31,1619,2397,1718,0,ON
2026-01-12 21:27:58.699,23.9,2.00,4.551,25235,146.14,1.41,1593,2361,1691,0,ON
2026-01-12 21:27:59.363,23.9,1.91,4.563,25235,146.02,1.52,1632,2418,1732,0,ON
2026-01-12 21:28:00.045,23.9,2.07,4.542,25025,145.93,1.62,1607,2383,1710,0,ON
2026-01-12 21:28:00.710,24.0,2.04,4.546,25025,145.80,1.75,1627,2410,1726,0,ON
2026-01-12 21:28:01.390,23.9,1.92,4.561,24749,145.70,1.84,1656,2445,1751,0,ON
2026-01-12 21:28:02.051,23.9,2.05,4.546,24749,145.59,1.96,1678,2474,1772,0,ON
2026-01-12 21:28:02.742,23.9,1.96,4.557,24545,145.50,2.05,1634,2414,1729,0,ON
2026-01-12 21:28:03.410,23.9,1.93,4.561,24545,145.38,2.17,1652,2449,1755,0,ON
2026-01-12 21:28:04.095,24.0,1.97,4.556,24322,145.26,2.29,1574,2329,1694,0,ON
2026-01-12 21:28:04.764,24.0,2.00,4.551,24322,145.17,2.38,1660,2455,1760,0,ON
2026-01-12 21:28:05.450,24.0,1.96,4.556,24122,145.05,2.50,1615,2390,1714,0,ON
