Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
2026-01-22 16:56:20.642,27.6,1.82,4.575,11676,154.53,0.03,1075,1718,1126,0,ON
2026-01-22 16:56:21.371,27.6,1.84,4.573,11676,154.42,0.15,1081,1729,1135,0,ON
2026-01-22 16:56:22.119,27.6,1.86,4.570,11499,154.30,0.26,1083,1732,1135,0,ON
2026-01-22 16:56:22.847,27.6,2.56,4.479,11499,154.18,0.39,1053,1688,1108,0,ON
2026-01-22 16:56:23.598,27.6,2.10,4.539,11273,154.06,0.50,1088,1735,1140,0,ON
2026-01-22 16:56:24.354,27.6,2.07,4.542,11273,153.93,0.63,1101,1764,1156,0,ON
2026-01-22 16:56:25.131,27.6,2.11,4.537,11102,153.82,0.75,1119,1783,1168,0,ON
2026-01-22 16:56:25.911,27.6,2.08,4.541,11102,153.70,0.87,1057,1694,1111,0,ON
2026-01-22 16:56:26.721,27.6,2.12,4.536,10891,153.57,1.00,1082,1731,1135,0,ON
2026-01-22 16:56:27.515,27.6,2.10,4.538,10891,153.44,1.13,1071,1705,1119,0,ON
2026-01-22 16:56:28.324,27.6,2.10,4.539,10649,153.32,1.25,1093,1737,1150,0,ON
2026-01-22 16:56:29.142,27.6,2.12,4.536,10649,153.19,1.38,1100,1753,1148,0,ON
2026-01-22 16:56:30.036,27.6,2.08,4.541,10488,153.07,1.50,1121,1785,1172,0,ON
2026-01-22 16:56:30.815,27.7,2.04,4.547,10488,152.90,1.66,1086,1733,1137,0,ON
2026-01-22 16:56:31.559,27.6,1.89,4.566,10256,152.78,1.79,1101,1761,1156,0,ON
2026-01-22 16:56:32.283,27.7,1.87,4.569,10256,152.68,1.88,1096,1749,1146,0,ON
2026-01-22 16:56:33.032,27.7,1.87,4.569,10109,152.56,2.00,1095,1749,1147,0,ON
2026-01-22 16:56:33.753,27.7,1.81,4.577,10109,152.44,2.13,1105,1759,1154,0,ON
2026-01-22 16:56:34.497,27.7,1.79,4.579,9939,152.32,2.25,1098,1747,1145,0,ON
2026-01-22 16:56:35.230,27.7,1.82,4.575,9939,152.20,2.36,1099,1752,1151,0,ON
2026-01-22 16:56:35.979,27.8,1.79,4.579,9792,152.09,2.47,1082,1722,1127,0,ON
2026-01-22 16:56:36.702,27.8,1.82,4.575,9792,151.97,2.60,1108,1758,1155,0,ON
2026-01-22 16:56:37.445,27.8,1.87,4.568,9659,151.85,2.71,1132,1796,1178,0,ON
2026-01-22 16:56:38.191,27.8,2.11,4.537,9659,151.74,2.83,1098,1753,1152,0,ON
2026-01-22 16:56:38.934,27.8,1.94,4.560,9504,151.62,2.95,1091,1737,1141,0,ON
2026-01-22 16:56:39.659,27.8,1.85,4.571,9504,151.49,3.07,1103,1761,1154,0,ON
