SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-03-31 16:44:41.800,30.3,3.13,4.426,4499,227.40,8.79,542,800,393,1865,ON
1,2026-03-31 16:44:42.300,30.3,3.24,4.379,4572,227.28,8.90,538,799,395,1899,ON
2,2026-03-31 16:44:42.800,30.4,3.36,4.382,4678,227.11,9.08,540,805,399,1906,ON
3,2026-03-31 16:44:43.300,30.4,3.41,4.380,4780,226.94,9.24,536,799,397,1891,ON
4,2026-03-31 16:44:43.800,30.4,3.43,4.352,4891,226.79,9.40,532,796,397,1879,ON
5,2026-03-31 16:44:44.300,30.4,3.45,4.381,4972,226.62,9.56,530,796,397,1890,ON
6,2026-03-31 16:44:44.800,30.4,3.45,4.379,5022,226.47,9.72,530,800,400,1900,ON
7,2026-03-31 16:44:45.300,30.5,3.44,4.383,5094,226.31,9.87,530,798,398,1874,ON
8,2026-03-31 16:44:45.800,30.5,3.44,4.385,5175,226.15,10.04,531,798,399,1887,ON
9,2026-03-31 16:44:46.300,30.5,3.44,4.396,5236,226.00,10.19,529,797,398,1835,ON
10,2026-03-31 16:44:46.800,30.5,3.43,4.377,5283,225.84,10.35,527,796,400,1924,ON
11,2026-03-31 16:44:47.300,30.5,3.44,4.373,5334,225.67,10.51,526,796,400,1899,ON
12,2026-03-31 16:44:47.800,30.5,3.46,4.331,5400,225.50,10.69,522,790,397,1894,ON
13,2026-03-31 16:44:48.300,30.6,3.46,4.388,5461,225.34,10.85,523,793,398,1864,ON
14,2026-03-31 16:44:48.800,30.6,3.46,4.385,5518,225.18,11.00,522,793,400,1887,ON
15,2026-03-31 16:44:49.300,30.6,3.45,4.381,5571,225.03,11.16,520,791,401,1856,ON
16,2026-03-31 16:44:49.800,30.6,3.45,4.380,5618,224.87,11.32,512,782,397,1847,ON
17,2026-03-31 16:44:50.300,30.6,3.45,4.378,5672,224.71,11.48,512,782,397,1846,ON
18,2026-03-31 16:44:50.800,30.6,3.45,4.380,5730,224.55,11.64,512,785,400,1879,ON
19,2026-03-31 16:44:51.300,30.6,3.45,4.380,5799,224.39,11.79,510,785,401,1895,ON
20,2026-03-31 16:44:51.800,30.7,3.45,4.378,5874,224.23,11.95,511,788,404,1850,ON
21,2026-03-31 16:44:52.300,30.7,3.45,4.380,5937,224.08,12.11,507,783,401,1851,ON
22,2026-03-31 16:44:52.800,30.7,3.46,4.379,6004,223.92,12.27,505,782,402,1856,ON
23,2026-03-31 16:44:53.300,30.7,3.45,4.379,6076,223.74,12.45,504,783,403,1845,ON
24,2026-03-31 16:44:53.800,30.7,3.45,4.378,6137,223.58,12.61,502,783,404,1838,ON
25,2026-03-31 16:44:54.300,30.7,3.46,4.379,6188,223.42,12.76,502,783,406,1837,ON
26,2026-03-31 16:44:54.800,30.7,3.46,4.380,6246,223.27,12.92,498,782,407,1846,ON
27,2026-03-31 16:44:55.300,30.7,3.47,4.377,6304,223.11,13.08,496,777,406,1829,ON
28,2026-03-31 16:44:55.800,30.7,3.47,4.380,6362,222.95,13.24,494,777,408,1813,ON
29,2026-03-31 16:44:56.300,30.7,3.46,4.381,6426,222.79,13.40,491,777,408,1848,ON
30,2026-03-31 16:44:56.800,30.8,3.47,4.381,6492,222.63,13.56,490,776,408,1828,ON
31,2026-03-31 16:44:57.300,30.8,3.47,4.376,6541,222.48,13.71,489,777,410,1825,ON
32,2026-03-31 16:44:57.800,30.8,3.46,4.370,6581,222.32,13.87,484,773,409,1772,ON
33,2026-03-31 16:44:58.300,30.9,3.48,4.379,6643,222.16,14.03,484,775,412,1845,ON
34,2026-03-31 16:44:58.800,30.9,3.47,4.380,6715,221.98,14.21,479,771,411,1824,ON
35,2026-03-31 16:44:59.300,30.9,3.48,4.379,6770,221.82,14.37,478,771,412,1803,ON
36,2026-03-31 16:44:59.800,30.9,3.48,4.378,6820,221.66,14.52,477,770,413,1817,ON
37,2026-03-31 16:45:00.300,30.9,3.46,4.380,6872,221.50,14.68,472,765,412,1796,ON
38,2026-03-31 16:45:00.800,30.9,3.45,4.379,6918,221.35,14.84,470,764,412,1795,ON
39,2026-03-31 16:45:01.300,30.9,3.46,4.380,6980,221.19,14.99,469,767,416,1769,ON
40,2026-03-31 16:45:01.800,30.9,3.46,4.379,7047,221.03,15.15,465,763,414,1761,ON
41,2026-03-31 16:45:02.300,30.9,3.46,4.380,7118,220.87,15.31,456,752,409,1792,ON
42,2026-03-31 16:45:02.800,31.0,3.47,4.377,7176,220.72,15.46,454,752,410,1811,ON
43,2026-03-31 16:45:03.300,31.0,3.48,4.376,7223,220.56,15.63,452,750,411,1744,ON
44,2026-03-31 16:45:03.800,31.0,3.46,4.378,7263,220.41,15.78,450,750,412,1748,ON
45,2026-03-31 16:45:04.300,31.0,3.47,4.378,7310,220.22,15.97,443,743,411,1733,ON
46,2026-03-31 16:45:04.800,31.1,3.46,4.380,7375,220.06,16.12,442,744,412,1790,ON
47,2026-03-31 16:45:05.300,31.1,3.46,4.376,7437,219.92,16.27,442,747,417,1748,ON
