SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-19 09:57:45.478,29.1,2.64,4.472,17079,202.92,0.23,2064,3335,2535,8649,ON
1,2026-05-19 09:57:45.978,29.1,2.66,4.472,17084,202.82,0.32,2068,3339,2540,8733,ON
2,2026-05-19 09:57:46.478,29.0,2.67,4.477,17089,202.72,0.42,2076,3351,2549,8679,ON
3,2026-05-19 09:57:46.978,29.0,2.73,4.481,17099,202.61,0.53,2081,3356,2553,8797,ON
4,2026-05-19 09:57:47.478,29.1,2.72,4.437,17110,202.52,0.63,2076,3349,2547,8649,ON
5,2026-05-19 09:57:47.978,29.0,2.72,4.467,17125,202.42,0.72,2083,3357,2552,8826,ON
6,2026-05-19 09:57:48.478,29.0,2.74,4.453,17140,202.30,0.85,2073,3343,2542,8651,ON
7,2026-05-19 09:57:48.978,29.0,2.74,4.462,17157,202.20,0.94,2081,3355,2551,8691,ON
8,2026-05-19 09:57:49.478,29.0,2.68,4.489,17176,202.10,1.05,2074,3345,2544,8706,ON
9,2026-05-19 09:57:49.978,29.1,2.64,4.501,17202,201.99,1.15,2067,3335,2539,8687,ON
10,2026-05-19 09:57:50.478,29.1,2.67,4.471,17226,201.90,1.25,2063,3329,2535,8707,ON
11,2026-05-19 09:57:50.978,29.1,2.76,4.377,17249,201.80,1.35,2063,3330,2537,8582,ON
12,2026-05-19 09:57:51.478,29.1,2.79,4.444,17268,201.70,1.45,2077,3348,2549,8713,ON
13,2026-05-19 09:57:51.978,29.1,2.88,4.466,17292,201.60,1.55,2071,3340,2543,8598,ON
14,2026-05-19 09:57:52.478,29.1,2.82,4.467,17320,201.50,1.65,2082,3356,2554,8747,ON
15,2026-05-19 09:57:52.978,29.1,2.80,4.389,17346,201.39,1.76,2086,3360,2557,8701,ON
16,2026-05-19 09:57:53.478,29.1,2.84,4.460,17363,201.29,1.86,2095,3373,2566,8747,ON
17,2026-05-19 09:57:53.978,29.1,2.80,4.468,17383,201.18,1.96,2087,3365,2561,8826,ON
18,2026-05-19 09:57:54.478,29.1,2.84,4.453,17403,201.07,2.07,2088,3367,2562,8743,ON
19,2026-05-19 09:57:54.978,29.1,2.86,4.454,17419,200.98,2.17,2088,3367,2562,8827,ON
20,2026-05-19 09:57:55.478,29.1,2.91,4.443,17443,200.87,2.27,2083,3359,2557,8729,ON
21,2026-05-19 09:57:55.978,29.1,2.89,4.450,17473,200.77,2.37,2079,3350,2551,8690,ON
22,2026-05-19 09:57:56.478,29.2,2.91,4.450,17499,200.68,2.47,2070,3340,2544,8640,ON
23,2026-05-19 09:57:56.978,29.2,2.96,4.424,17520,200.57,2.57,2080,3352,2553,8680,ON
24,2026-05-19 09:57:57.478,29.2,2.94,4.423,17540,200.46,2.68,2082,3357,2557,8791,ON
25,2026-05-19 09:57:57.978,29.2,2.98,4.452,17559,200.36,2.78,2092,3371,2567,8763,ON
26,2026-05-19 09:57:58.478,29.2,2.94,4.442,17580,200.26,2.88,2098,3380,2573,8821,ON
27,2026-05-19 09:57:58.978,29.2,2.95,4.431,17601,200.15,2.99,2089,3367,2564,8720,ON
28,2026-05-19 09:57:59.478,29.2,2.88,4.457,17629,200.05,3.09,2098,3378,2571,8814,ON
29,2026-05-19 09:57:59.978,29.2,2.95,4.438,17657,199.95,3.20,2098,3381,2573,8710,ON
30,2026-05-19 09:58:00.478,29.2,2.98,4.446,17681,199.84,3.30,2101,3385,2577,8782,ON
31,2026-05-19 09:58:00.978,29.2,2.98,4.381,17709,199.75,3.40,2091,3370,2566,8780,ON
32,2026-05-19 09:58:01.478,29.2,2.98,4.450,17730,199.64,3.50,2098,3383,2575,8782,ON
33,2026-05-19 09:58:01.978,29.2,3.02,4.424,17754,199.54,3.61,2090,3369,2567,8781,ON
34,2026-05-19 09:58:02.478,29.2,3.05,4.427,17778,199.44,3.71,2085,3360,2560,8710,ON
35,2026-05-19 09:58:02.978,29.3,3.03,4.447,17806,199.33,3.81,2085,3360,2560,8822,ON
36,2026-05-19 09:58:03.478,29.3,2.97,4.454,17835,199.23,3.91,2085,3361,2560,8689,ON
37,2026-05-19 09:58:03.978,29.3,2.96,4.437,17864,199.12,4.02,2096,3375,2570,8804,ON
38,2026-05-19 09:58:04.478,29.3,3.05,4.447,17890,199.03,4.12,2093,3373,2568,8687,ON
39,2026-05-19 09:58:04.978,29.3,3.09,4.425,17909,198.92,4.23,2103,3384,2569,8790,ON
40,2026-05-19 09:58:05.478,29.3,3.06,4.430,17928,198.81,4.34,2089,3367,2562,8791,ON
41,2026-05-19 09:58:05.978,29.3,3.10,4.436,17947,198.72,4.43,2108,3393,2582,8804,ON
42,2026-05-19 09:58:06.478,29.4,3.10,4.444,17967,198.61,4.53,2103,3387,2576,8938,ON
43,2026-05-19 09:58:06.978,29.4,3.08,4.412,17989,198.51,4.64,2110,3397,2585,8827,ON
44,2026-05-19 09:58:07.478,29.4,3.07,4.434,18016,198.41,4.74,2109,3397,2576,8916,ON
45,2026-05-19 09:58:07.978,29.4,3.09,4.414,18039,198.31,4.84,2104,3388,2577,8729,ON
46,2026-05-19 09:58:08.478,29.4,3.11,4.451,18062,198.21,4.93,2101,3384,2576,8837,ON
47,2026-05-19 09:58:08.978,29.4,3.04,4.413,18085,198.10,5.04,2091,3370,2571,8675,ON
48,2026-05-19 09:58:09.478,29.4,3.08,4.452,18108,198.01,5.14,2087,3363,2563,8747,ON
49,2026-05-19 09:58:09.978,29.4,3.11,4.419,18136,197.89,5.26,2089,3367,2562,8787,ON
50,2026-05-19 09:58:10.478,29.4,3.15,4.453,18166,197.79,5.35,2108,3396,2586,8881,ON
51,2026-05-19 09:58:10.978,29.5,3.01,4.406,18196,197.69,5.46,2100,3384,2577,8894,ON
52,2026-05-19 09:58:11.478,29.5,3.08,4.413,18221,197.58,5.56,2114,3402,2588,8808,ON
53,2026-05-19 09:58:11.978,29.5,3.10,4.441,18248,197.48,5.66,2116,3406,2591,8895,ON
54,2026-05-19 09:58:12.478,29.5,3.17,4.379,18267,197.38,5.76,2113,3407,2592,8747,ON
55,2026-05-19 09:58:12.978,29.5,3.22,4.405,18283,197.28,5.86,2115,3407,2597,8794,ON
56,2026-05-19 09:58:13.478,29.5,3.12,4.428,18297,197.18,5.97,2103,3388,2580,8828,ON
57,2026-05-19 09:58:13.978,29.5,3.13,4.413,18312,197.07,6.07,2104,3388,2579,8761,ON
58,2026-05-19 09:58:14.478,29.5,3.20,4.352,18331,196.98,6.16,2095,3372,2567,8794,ON
59,2026-05-19 09:58:14.978,29.5,3.18,4.429,18349,196.87,6.28,2095,3374,2569,8713,ON
60,2026-05-19 09:58:15.478,29.6,3.08,4.461,18375,196.77,6.37,2094,3370,2568,8854,ON
61,2026-05-19 09:58:15.978,29.6,3.04,4.426,18401,196.66,6.49,2099,3379,2572,8735,ON
62,2026-05-19 09:58:16.478,29.6,3.07,4.408,18430,196.56,6.59,2100,3379,2572,8882,ON
63,2026-05-19 09:58:16.978,29.6,3.16,4.396,18460,196.45,6.69,2102,3384,2577,8959,ON
64,2026-05-19 09:58:17.478,29.6,3.18,4.430,18487,196.36,6.79,2122,3413,2597,8863,ON
65,2026-05-19 09:58:17.978,29.6,3.14,4.418,18512,196.25,6.89,2120,3411,2596,8878,ON
66,2026-05-19 09:58:18.478,29.6,3.23,4.345,18535,196.15,6.99,2118,3407,2592,8762,ON
67,2026-05-19 09:58:18.978,29.7,3.17,4.432,18561,196.05,7.10,2109,3395,2584,8856,ON
68,2026-05-19 09:58:19.478,29.7,3.09,4.421,18583,195.95,7.20,2107,3391,2580,8790,ON
69,2026-05-19 09:58:19.978,29.6,3.15,4.423,18602,195.84,7.30,2106,3391,2581,8809,ON
70,2026-05-19 09:58:20.478,29.7,3.17,4.344,18617,195.74,7.40,2098,3380,2573,8783,ON
71,2026-05-19 09:58:20.978,29.7,3.21,4.383,18632,195.64,7.50,2106,3388,2581,8832,ON
72,2026-05-19 09:58:21.478,29.7,3.23,4.404,18650,195.54,7.61,2103,3386,2578,8909,ON
73,2026-05-19 09:58:21.978,29.7,3.27,4.411,18677,195.45,7.69,2115,3401,2590,8849,ON
74,2026-05-19 09:58:22.478,29.7,3.32,4.290,18708,195.33,7.82,2122,3412,2597,8918,ON
75,2026-05-19 09:58:22.978,29.7,3.24,4.405,18734,195.22,7.92,2121,3411,2597,8843,ON
76,2026-05-19 09:58:23.478,29.7,3.15,4.442,18763,195.13,8.02,2130,3424,2611,8849,ON
77,2026-05-19 09:58:23.978,29.7,3.14,4.392,18789,195.03,8.12,2116,3404,2592,8870,ON
78,2026-05-19 09:58:24.478,29.7,3.16,4.405,18811,194.93,8.22,2126,3416,2601,8807,ON
79,2026-05-19 09:58:24.978,29.7,3.19,4.404,18831,194.82,8.32,2117,3403,2592,8869,ON
80,2026-05-19 09:58:25.478,29.7,3.22,4.416,18847,194.72,8.42,2117,3404,2593,8772,ON
81,2026-05-19 09:58:25.978,29.7,3.24,4.400,18869,194.62,8.52,2109,3392,2584,8879,ON
82,2026-05-19 09:58:26.478,29.8,3.29,4.390,18891,194.52,8.62,2108,3392,2584,8794,ON
83,2026-05-19 09:58:26.978,29.8,3.32,4.400,18915,194.42,8.72,2119,3406,2591,8905,ON
84,2026-05-19 09:58:27.478,29.8,3.25,4.423,18940,194.32,8.82,2114,3401,2588,8916,ON
85,2026-05-19 09:58:27.978,29.8,3.20,4.414,18963,194.22,8.93,2126,3416,2600,8889,ON
86,2026-05-19 09:58:28.478,29.8,3.27,4.371,18977,194.11,9.03,2127,3418,2602,8987,ON
87,2026-05-19 09:58:28.978,29.8,3.29,4.378,18996,194.00,9.15,2134,3430,2611,8912,ON
88,2026-05-19 09:58:29.478,29.9,3.35,4.382,19023,193.89,9.25,2130,3426,2608,8918,ON
89,2026-05-19 09:58:29.978,29.9,3.29,4.397,19045,193.80,9.35,2126,3420,2602,8877,ON
90,2026-05-19 09:58:30.478,29.9,3.32,4.346,19067,193.70,9.45,2126,3416,2600,8844,ON
91,2026-05-19 09:58:30.978,29.9,3.33,4.383,19091,193.60,9.55,2118,3403,2588,8871,ON
92,2026-05-19 09:58:31.478,29.9,3.27,4.404,19119,193.49,9.65,2112,3396,2587,8873,ON
93,2026-05-19 09:58:31.978,29.9,3.30,4.414,19139,193.39,9.75,2121,3408,2594,8879,ON
94,2026-05-19 09:58:32.478,29.9,3.24,4.374,19161,193.29,9.86,2117,3403,2593,8945,ON
95,2026-05-19 09:58:32.978,29.9,3.23,4.403,19180,193.19,9.96,2121,3409,2596,8862,ON
96,2026-05-19 09:58:33.478,29.9,3.32,4.374,19205,193.09,10.06,2127,3417,2602,8938,ON
97,2026-05-19 09:58:33.978,29.9,3.23,4.396,19225,192.98,10.17,2132,3424,2607,8896,ON
98,2026-05-19 09:58:34.478,29.9,3.27,4.382,19251,192.89,10.26,2137,3431,2612,8932,ON
99,2026-05-19 09:58:34.978,29.9,3.33,4.382,19274,192.78,10.37,2137,3431,2612,8969,ON
100,2026-05-19 09:58:35.478,30.0,3.25,4.414,19287,192.67,10.48,2148,3449,2625,8950,ON
101,2026-05-19 09:58:35.978,30.0,3.20,4.426,19306,192.57,10.58,2136,3433,2613,8966,ON
102,2026-05-19 09:58:36.478,30.0,3.23,4.379,19325,192.46,10.68,2138,3432,2613,8843,ON
103,2026-05-19 09:58:36.978,30.0,3.33,4.386,19344,192.37,10.78,2131,3421,2605,8925,ON
104,2026-05-19 09:58:37.478,30.0,3.44,4.376,19368,192.27,10.88,2128,3418,2604,8831,ON
105,2026-05-19 09:58:37.978,30.0,3.42,4.411,19390,192.16,10.99,2122,3408,2597,8899,ON
106,2026-05-19 09:58:38.478,30.0,3.35,4.364,19416,192.05,11.09,2122,3411,2599,8911,ON
107,2026-05-19 09:58:38.978,30.0,3.40,4.383,19441,191.95,11.19,2134,3429,2611,8963,ON
108,2026-05-19 09:58:39.478,30.1,3.49,4.387,19467,191.86,11.29,2132,3426,2610,8996,ON
109,2026-05-19 09:58:39.978,30.1,3.49,4.387,19493,191.76,11.39,2141,3437,2617,8954,ON
110,2026-05-19 09:58:40.478,30.1,3.38,4.378,19521,191.66,11.49,2142,3439,2617,8978,ON
111,2026-05-19 09:58:40.978,30.1,3.42,4.362,19546,191.54,11.60,2139,3432,2612,8903,ON
112,2026-05-19 09:58:41.478,30.1,3.46,4.390,19564,191.44,11.71,2142,3437,2616,8939,ON
113,2026-05-19 09:58:41.978,30.1,3.50,4.345,19590,191.34,11.80,2136,3430,2612,8924,ON
114,2026-05-19 09:58:42.478,30.1,3.48,4.370,19615,191.24,11.91,2138,3433,2614,8907,ON
115,2026-05-19 09:58:42.978,30.1,3.46,4.362,19642,191.13,12.01,2128,3422,2607,8922,ON
116,2026-05-19 09:58:43.478,30.2,3.48,4.390,19658,191.03,12.11,2125,3417,2603,8848,ON
117,2026-05-19 09:58:43.978,30.2,3.43,4.379,19675,190.93,12.21,2114,3399,2590,8927,ON
118,2026-05-19 09:58:44.478,30.1,3.39,4.371,19695,190.83,12.31,2126,3415,2602,8896,ON
119,2026-05-19 09:58:44.978,30.1,3.38,4.386,19714,190.73,12.42,2136,3431,2613,8989,ON
120,2026-05-19 09:58:45.478,30.2,3.44,4.373,19739,190.63,12.52,2134,3427,2610,8969,ON
121,2026-05-19 09:58:45.978,30.2,3.43,4.394,19761,190.52,12.62,2148,3443,2622,8983,ON
122,2026-05-19 09:58:46.478,30.2,3.43,4.374,19780,190.42,12.72,2136,3431,2610,9036,ON
123,2026-05-19 09:58:46.978,30.2,3.43,4.365,19804,190.31,12.83,2151,3452,2626,8980,ON
124,2026-05-19 09:58:47.478,30.2,3.47,4.383,19830,190.21,12.93,2144,3441,2619,8983,ON
125,2026-05-19 09:58:47.978,30.2,3.42,4.393,19852,190.11,13.04,2146,3443,2623,8844,ON
126,2026-05-19 09:58:48.478,30.2,3.40,4.395,19870,190.01,13.14,2132,3424,2609,8872,ON
127,2026-05-19 09:58:48.978,30.2,3.38,4.393,19891,189.91,13.24,2121,3405,2595,8827,ON
128,2026-05-19 09:58:49.478,30.2,3.46,4.379,19913,189.81,13.33,2123,3411,2599,8895,ON
