SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-19 17:00:08.701,29.7,0.67,4.704,3901,188.91,0.27,1443,2261,1661,5821,ON
1,2026-05-19 17:00:09.201,29.7,0.73,4.736,3853,188.82,0.36,1437,2255,1657,5796,ON
2,2026-05-19 17:00:09.701,29.7,0.76,4.726,3802,188.74,0.44,1434,2250,1653,5702,ON
3,2026-05-19 17:00:10.201,29.7,0.77,4.716,3750,188.66,0.53,1426,2239,1646,5733,ON
4,2026-05-19 17:00:10.701,29.7,0.80,4.715,3695,188.57,0.62,1428,2242,1649,5809,ON
5,2026-05-19 17:00:11.201,29.7,0.80,4.722,3639,188.49,0.69,1431,2248,1653,5782,ON
6,2026-05-19 17:00:11.701,29.7,0.80,4.725,3584,188.40,0.78,1426,2239,1647,5750,ON
7,2026-05-19 17:00:12.201,29.7,0.80,4.728,3532,188.31,0.87,1422,2232,1642,5809,ON
8,2026-05-19 17:00:12.701,29.7,0.83,4.698,3483,188.22,0.96,1428,2241,1648,5883,ON
9,2026-05-19 17:00:13.201,29.7,0.88,4.718,3438,188.14,1.04,1424,2237,1645,5734,ON
10,2026-05-19 17:00:13.701,29.7,0.88,4.710,3393,188.05,1.13,1417,2234,1643,5813,ON
11,2026-05-19 17:00:14.201,29.7,0.90,4.722,3352,187.97,1.21,1414,2228,1639,5712,ON
12,2026-05-19 17:00:14.701,29.7,0.91,4.711,3313,187.89,1.29,1413,2220,1634,5713,ON
13,2026-05-19 17:00:15.201,29.8,0.93,4.706,3278,187.79,1.39,1426,2239,1647,5862,ON
14,2026-05-19 17:00:15.701,29.8,0.94,4.700,3247,187.71,1.47,1438,2254,1658,5793,ON
15,2026-05-19 17:00:16.201,29.8,0.95,4.701,3219,187.62,1.56,1431,2248,1653,5700,ON
16,2026-05-19 17:00:16.701,29.8,0.92,4.713,3193,187.53,1.65,1425,2239,1648,5823,ON
17,2026-05-19 17:00:17.201,29.8,0.91,4.692,3171,187.46,1.72,1435,2247,1653,5842,ON
18,2026-05-19 17:00:17.701,29.8,0.91,4.708,3152,187.37,1.82,1431,2243,1650,5723,ON
19,2026-05-19 17:00:18.201,29.8,0.91,4.721,3136,187.28,1.90,1424,2228,1640,5850,ON
20,2026-05-19 17:00:18.701,29.8,0.93,4.701,3124,187.18,2.00,1426,2236,1645,5821,ON
21,2026-05-19 17:00:19.201,29.8,0.96,4.693,3114,187.11,2.08,1433,2246,1652,5747,ON
22,2026-05-19 17:00:19.701,29.8,0.98,4.692,3107,187.02,2.16,1430,2241,1649,5741,ON
23,2026-05-19 17:00:20.201,29.9,1.00,4.693,3103,186.94,2.25,1434,2247,1653,5850,ON
24,2026-05-19 17:00:20.701,29.9,1.00,4.696,3100,186.85,2.33,1437,2252,1657,5830,ON
25,2026-05-19 17:00:21.201,29.9,1.01,4.690,3099,186.76,2.42,1436,2255,1660,5762,ON
26,2026-05-19 17:00:21.701,29.9,1.03,4.694,3101,186.68,2.50,1429,2241,1651,5934,ON
27,2026-05-19 17:00:22.201,29.9,1.04,4.676,3104,186.59,2.59,1441,2256,1661,5868,ON
28,2026-05-19 17:00:22.701,29.9,1.08,4.675,3109,186.51,2.68,1443,2260,1663,5841,ON
29,2026-05-19 17:00:23.201,29.9,1.11,4.677,3116,186.42,2.77,1433,2248,1659,5776,ON
30,2026-05-19 17:00:23.701,29.9,1.13,4.679,3124,186.32,2.87,1433,2245,1662,5834,ON
31,2026-05-19 17:00:24.201,29.9,1.14,4.643,3135,186.23,2.95,1437,2240,1654,5845,ON
32,2026-05-19 17:00:24.701,29.9,1.16,4.680,3147,186.15,3.04,1434,2247,1656,5725,ON
