SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-21 13:24:13.185,29.6,1.62,4.631,1365,205.04,0.13,1508,2430,1800,6277,ON
1,2026-05-21 13:24:13.685,29.6,1.63,4.624,1365,204.96,0.21,1517,2441,1805,6340,ON
2,2026-05-21 13:24:14.185,29.6,1.65,4.606,1365,204.88,0.29,1526,2451,1812,6404,ON
3,2026-05-21 13:24:14.685,29.6,1.66,4.609,1362,204.79,0.38,1516,2445,1815,6285,ON
4,2026-05-21 13:24:15.185,29.6,1.67,4.595,1349,204.71,0.46,1513,2441,1815,6364,ON
5,2026-05-21 13:24:15.685,29.6,1.65,4.618,1325,204.62,0.56,1511,2437,1809,6293,ON
6,2026-05-21 13:24:16.185,29.6,1.66,4.610,1298,204.53,0.64,1512,2436,1808,6268,ON
7,2026-05-21 13:24:16.685,29.6,1.72,4.591,1269,204.45,0.73,1516,2445,1813,6392,ON
8,2026-05-21 13:24:17.185,29.6,1.76,4.571,1242,204.36,0.81,1518,2446,1813,6230,ON
9,2026-05-21 13:24:17.685,29.6,1.82,4.579,1217,204.28,0.90,1517,2444,1812,6175,ON
10,2026-05-21 13:24:18.185,29.6,1.86,4.575,1200,204.19,0.99,1519,2445,1812,6265,ON
11,2026-05-21 13:24:18.685,29.6,1.92,4.564,1189,204.10,1.08,1514,2439,1808,6436,ON
12,2026-05-21 13:24:19.185,29.6,1.97,4.564,1184,204.02,1.16,1517,2441,1809,6308,ON
13,2026-05-21 13:24:19.685,29.6,2.01,4.553,1183,203.93,1.24,1521,2445,1812,6211,ON
14,2026-05-21 13:24:20.185,29.6,2.04,4.538,1189,203.84,1.34,1520,2444,1812,6379,ON
15,2026-05-21 13:24:20.685,29.6,2.10,4.538,1200,203.76,1.42,1521,2444,1812,6297,ON
16,2026-05-21 13:24:21.185,29.6,2.15,4.536,1221,203.67,1.50,1521,2443,1812,6262,ON
17,2026-05-21 13:24:21.685,29.6,2.17,4.542,1247,203.59,1.58,1520,2443,1812,6259,ON
18,2026-05-21 13:24:22.185,29.6,2.21,4.524,1274,203.50,1.67,1521,2446,1813,6295,ON
19,2026-05-21 13:24:22.685,29.7,2.26,4.535,1299,203.41,1.76,1525,2450,1817,6353,ON
20,2026-05-21 13:24:23.185,29.7,2.26,4.534,1330,203.33,1.84,1523,2449,1817,6285,ON
21,2026-05-21 13:24:23.685,29.6,2.27,4.531,1361,203.25,1.93,1523,2447,1815,6308,ON
22,2026-05-21 13:24:24.185,29.7,2.28,4.518,1393,203.16,2.01,1525,2448,1817,6422,ON
23,2026-05-21 13:24:24.685,29.7,2.31,4.501,1429,203.08,2.10,1527,2454,1821,6357,ON
24,2026-05-21 13:24:25.185,29.7,2.38,4.498,1469,202.99,2.18,1531,2460,1825,6185,ON
25,2026-05-21 13:24:25.685,29.7,2.41,4.518,1513,202.90,2.27,1530,2458,1824,6301,ON
26,2026-05-21 13:24:26.185,29.7,2.42,4.510,1558,202.82,2.36,1527,2453,1820,6367,ON
27,2026-05-21 13:24:26.685,29.7,2.44,4.520,1558,202.73,2.44,1526,2453,1821,6270,ON
28,2026-05-21 13:24:27.185,29.7,2.46,4.502,1558,202.65,2.53,1522,2447,1816,6250,ON
29,2026-05-21 13:24:27.685,29.7,2.46,4.513,1558,202.56,2.62,1527,2452,1819,6346,ON
30,2026-05-21 13:24:28.185,29.7,2.48,4.492,1558,202.48,2.70,1531,2456,1821,6434,ON
31,2026-05-21 13:24:28.685,29.7,2.52,4.494,1558,202.39,2.78,1530,2457,1823,6375,ON
32,2026-05-21 13:24:29.185,29.8,2.52,4.503,1952,202.31,2.87,1525,2452,1820,6262,ON
33,2026-05-21 13:24:29.685,29.8,2.55,4.480,1952,202.21,2.96,1526,2453,1821,6341,ON
34,2026-05-21 13:24:30.185,29.8,2.59,4.487,1962,202.13,3.04,1529,2457,1823,6405,ON
35,2026-05-21 13:24:30.685,29.8,2.60,4.481,1987,202.03,3.14,1527,2452,1820,6284,ON
36,2026-05-21 13:24:31.185,29.8,2.61,4.487,2026,201.95,3.23,1525,2451,1819,6321,ON
37,2026-05-21 13:24:31.685,29.8,2.63,4.476,2069,201.86,3.32,1523,2451,1820,6401,ON
38,2026-05-21 13:24:32.185,29.8,2.67,4.497,2112,201.77,3.40,1530,2458,1826,6396,ON
39,2026-05-21 13:24:32.685,29.8,2.66,4.487,2155,201.69,3.48,1526,2451,1821,6273,ON
40,2026-05-21 13:24:33.185,29.9,2.66,4.465,2201,201.60,3.58,1524,2449,1819,6311,ON
41,2026-05-21 13:24:33.685,29.9,2.71,4.480,2248,201.52,3.66,1522,2444,1816,6257,ON
42,2026-05-21 13:24:34.185,29.9,2.72,4.469,2294,201.43,3.75,1518,2435,1810,6310,ON
43,2026-05-21 13:24:34.685,29.9,2.74,4.475,2340,201.34,3.83,1523,2443,1814,6289,ON
44,2026-05-21 13:24:35.185,29.9,2.73,4.448,2387,201.26,3.91,1526,2447,1817,6287,ON
45,2026-05-21 13:24:35.685,29.9,2.76,4.459,2431,201.17,4.00,1524,2445,1816,6296,ON
46,2026-05-21 13:24:36.185,29.9,2.79,4.452,2473,201.08,4.09,1532,2458,1826,6411,ON
47,2026-05-21 13:24:36.685,29.9,2.82,4.446,2517,201.00,4.18,1534,2462,1828,6406,ON
48,2026-05-21 13:24:37.185,30.0,2.85,4.452,2561,200.91,4.26,1528,2454,1823,6300,ON
49,2026-05-21 13:24:37.685,30.0,2.87,4.435,2602,200.83,4.34,1526,2451,1821,6317,ON
50,2026-05-21 13:24:38.185,29.9,2.89,4.465,2641,200.74,4.43,1526,2450,1820,6413,ON
51,2026-05-21 13:24:38.685,29.9,2.89,4.442,2683,200.66,4.52,1529,2454,1823,6352,ON
52,2026-05-21 13:24:39.185,29.9,2.90,4.457,2732,200.57,4.60,1533,2460,1826,6219,ON
53,2026-05-21 13:24:39.685,30.0,2.91,4.452,2784,200.49,4.69,1529,2454,1823,6277,ON
54,2026-05-21 13:24:40.185,30.0,2.90,4.465,2833,200.40,4.78,1534,2459,1826,6393,ON
55,2026-05-21 13:24:40.685,30.0,2.90,4.449,2876,200.31,4.86,1533,2459,1826,6330,ON
56,2026-05-21 13:24:41.185,30.0,2.92,4.434,2919,200.22,4.95,1531,2457,1825,6304,ON
57,2026-05-21 13:24:41.685,30.0,2.96,4.428,2967,200.14,5.03,1537,2466,1832,6382,ON
58,2026-05-21 13:24:42.185,30.0,2.99,4.438,3017,200.06,5.12,1539,2470,1835,6393,ON
59,2026-05-21 13:24:42.685,30.0,2.98,4.433,3067,199.97,5.21,1537,2466,1833,6390,ON
60,2026-05-21 13:24:43.185,30.0,2.98,4.441,3119,199.88,5.29,1537,2467,1833,6255,ON
61,2026-05-21 13:24:43.685,30.1,2.98,4.420,3165,199.79,5.38,1535,2463,1831,6329,ON
62,2026-05-21 13:24:44.185,30.1,3.01,4.432,3207,199.71,5.46,1533,2461,1829,6391,ON
63,2026-05-21 13:24:44.685,30.1,3.03,4.427,3247,199.62,5.56,1533,2461,1830,6356,ON
64,2026-05-21 13:24:45.185,30.1,3.03,4.450,3285,199.53,5.64,1535,2462,1830,6296,ON
65,2026-05-21 13:24:45.685,30.1,3.04,4.429,3324,199.45,5.72,1534,2461,1829,6305,ON
66,2026-05-21 13:24:46.185,30.1,3.05,4.418,3366,199.36,5.81,1528,2453,1824,6435,ON
67,2026-05-21 13:24:46.685,30.1,3.05,4.432,3417,199.28,5.90,1533,2460,1829,6406,ON
68,2026-05-21 13:24:47.185,30.1,3.05,4.422,3472,199.19,5.98,1539,2465,1833,6326,ON
69,2026-05-21 13:24:47.685,30.1,3.07,4.422,3527,199.11,6.07,1541,2467,1834,6374,ON
70,2026-05-21 13:24:48.185,30.2,3.11,4.407,3577,199.02,6.16,1542,2469,1835,6463,ON
71,2026-05-21 13:24:48.685,30.2,3.14,4.410,3622,198.93,6.24,1535,2461,1829,6365,ON
72,2026-05-21 13:24:49.185,30.2,3.17,4.413,3667,198.84,6.33,1538,2464,1832,6268,ON
73,2026-05-21 13:24:49.685,30.2,3.18,4.406,3708,198.76,6.41,1542,2471,1836,6345,ON
74,2026-05-21 13:24:50.185,30.2,3.20,4.412,3752,198.67,6.50,1538,2465,1832,6370,ON
75,2026-05-21 13:24:50.685,30.2,3.20,4.411,3799,198.59,6.58,1539,2467,1827,6309,ON
76,2026-05-21 13:24:51.185,30.2,3.21,4.407,3845,198.50,6.67,1539,2467,1830,6370,ON
77,2026-05-21 13:24:51.685,30.2,3.22,4.407,3891,198.42,6.76,1543,2473,1837,6421,ON
78,2026-05-21 13:24:52.185,30.2,3.21,4.420,3938,198.33,6.85,1543,2473,1837,6469,ON
