SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-21 14:51:36.078,29.6,4.00,4.304, 5,205.33,0.13,1591,2534,1888,6534,ON
1,2026-05-21 14:51:36.578,29.6,4.01,4.328, 5,205.24,0.22,1597,2543,1894,6580,ON
2,2026-05-21 14:51:37.078,29.5,3.94,4.348, 5,205.16,0.30,1599,2548,1899,6502,ON
3,2026-05-21 14:51:37.578,29.5,3.87,4.370, 5,205.08,0.38,1590,2535,1889,6559,ON
4,2026-05-21 14:51:38.078,29.5,3.84,4.348, 6,204.99,0.47,1586,2530,1884,6448,ON
5,2026-05-21 14:51:38.578,29.6,3.91,4.289, 9,204.90,0.56,1584,2526,1882,6501,ON
6,2026-05-21 14:51:39.078,29.6,4.02,4.269,17,204.82,0.64,1583,2525,1882,6514,ON
7,2026-05-21 14:51:39.578,29.6,4.12,4.274,26,204.73,0.73,1584,2526,1883,6558,ON
8,2026-05-21 14:51:40.078,29.6,4.24,4.237,37,204.64,0.82,1585,2530,1885,6503,ON
9,2026-05-21 14:51:40.578,29.6,4.37,4.224,47,204.56,0.91,1584,2527,1883,6489,ON
10,2026-05-21 14:51:41.078,29.6,4.46,4.230,58,204.47,0.99,1584,2527,1884,6522,ON
11,2026-05-21 14:51:41.578,29.6,4.51,4.229,68,204.38,1.08,1583,2527,1884,6506,ON
12,2026-05-21 14:51:42.078,29.6,4.58,4.216,76,204.31,1.16,1582,2525,1883,6486,ON
13,2026-05-21 14:51:42.578,29.6,4.67,4.199,85,204.22,1.24,1583,2525,1884,6509,ON
14,2026-05-21 14:51:43.078,29.7,4.73,4.195,94,204.13,1.33,1582,2522,1881,6440,ON
15,2026-05-21 14:51:43.578,29.7,4.78,4.204,105,204.04,1.42,1580,2521,1880,6500,ON
16,2026-05-21 14:51:44.078,29.7,4.79,4.196,117,203.96,1.50,1576,2515,1875,6443,ON
17,2026-05-21 14:51:44.578,29.8,4.82,4.197,129,203.88,1.58,1572,2509,1872,6499,ON
18,2026-05-21 14:51:45.078,29.8,4.85,4.185,139,203.78,1.68,1570,2505,1870,6444,ON
19,2026-05-21 14:51:45.578,29.8,4.87,4.189,147,203.70,1.76,1570,2502,1867,6432,ON
20,2026-05-21 14:51:46.078,29.9,4.89,4.186,156,203.62,1.84,1565,2496,1864,6413,ON
21,2026-05-21 14:51:46.578,29.9,4.92,4.179,166,203.52,1.94,1563,2492,1861,6378,ON
22,2026-05-21 14:51:47.078,29.9,4.98,4.166,176,203.43,2.03,1561,2487,1859,6383,ON
23,2026-05-21 14:51:47.578,29.9,5.02,4.160,185,203.34,2.12,1566,2496,1866,6512,ON
24,2026-05-21 14:51:48.078,30.0,5.06,4.158,193,203.26,2.20,1570,2504,1872,6445,ON
25,2026-05-21 14:51:48.578,30.0,5.08,4.163,201,203.17,2.29,1569,2505,1871,6462,ON
26,2026-05-21 14:51:49.078,30.0,5.09,4.158,211,203.09,2.37,1570,2505,1872,6485,ON
27,2026-05-21 14:51:49.578,30.1,5.11,4.158,221,203.00,2.46,1574,2510,1875,6493,ON
28,2026-05-21 14:51:50.078,30.1,5.16,4.141,232,202.91,2.55,1577,2519,1881,6510,ON
29,2026-05-21 14:51:50.578,30.1,5.21,4.135,242,202.84,2.62,1579,2523,1883,6523,ON
30,2026-05-21 14:51:51.078,30.2,5.23,4.144,252,202.75,2.71,1583,2527,1886,6522,ON
31,2026-05-21 14:51:51.578,30.2,5.24,4.127,260,202.66,2.80,1585,2527,1886,6489,ON
32,2026-05-21 14:51:52.078,30.2,5.26,4.135,269,202.58,2.88,1584,2524,1885,6500,ON
33,2026-05-21 14:51:52.578,30.3,5.28,4.123,277,202.49,2.97,1583,2524,1884,6522,ON
34,2026-05-21 14:51:53.078,30.3,5.31,4.126,286,202.40,3.06,1583,2524,1884,6506,ON
35,2026-05-21 14:51:53.578,30.3,5.33,4.123,295,202.32,3.15,1586,2529,1887,6554,ON
36,2026-05-21 14:51:54.078,30.3,5.36,4.127,303,202.23,3.23,1591,2537,1894,6470,ON
37,2026-05-21 14:51:54.578,30.4,5.38,4.132,310,202.14,3.32,1581,2523,1884,6517,ON
38,2026-05-21 14:51:55.078,30.4,5.37,4.110,317,202.06,3.40,1582,2527,1886,6490,ON
39,2026-05-21 14:51:55.578,30.4,5.39,4.118,326,201.97,3.49,1580,2523,1884,6449,ON
40,2026-05-21 14:51:56.078,30.5,5.41,4.117,337,201.89,3.57,1577,2519,1883,6519,ON
41,2026-05-21 14:51:56.578,30.5,5.43,4.125,348,201.80,3.66,1573,2512,1878,6441,ON
42,2026-05-21 14:51:57.078,30.5,5.47,4.108,359,201.72,3.75,1567,2502,1870,6414,ON
43,2026-05-21 14:51:57.578,30.5,5.49,4.099,369,201.63,3.83,1562,2496,1865,6431,ON
44,2026-05-21 14:51:58.078,30.6,5.49,4.113,376,201.54,3.92,1561,2493,1864,6380,ON
45,2026-05-21 14:51:58.578,30.6,5.49,4.108,383,201.46,4.01,1557,2487,1860,6380,ON
46,2026-05-21 14:51:59.078,30.6,5.51,4.107,391,201.37,4.09,1555,2482,1857,6375,ON
47,2026-05-21 14:51:59.578,30.6,5.52,4.106,399,201.29,4.17,1552,2480,1855,6364,ON
48,2026-05-21 14:52:00.078,30.7,5.55,4.093,408,201.21,4.25,1555,2483,1857,6447,ON
49,2026-05-21 14:52:00.578,30.7,5.56,4.105,418,201.12,4.34,1559,2489,1863,6445,ON
50,2026-05-21 14:52:01.078,30.7,5.55,4.105,427,201.03,4.43,1561,2493,1865,6488,ON
51,2026-05-21 14:52:01.578,30.7,5.57,4.098,436,200.94,4.52,1563,2497,1868,6466,ON
52,2026-05-21 14:52:02.078,30.7,5.58,4.095,444,200.85,4.61,1564,2498,1870,6476,ON
53,2026-05-21 14:52:02.578,30.8,5.60,4.092,452,200.77,4.69,1565,2500,1870,6444,ON
54,2026-05-21 14:52:03.078,30.8,5.62,4.095,462,200.70,4.77,1566,2500,1869,6444,ON
55,2026-05-21 14:52:03.578,30.8,5.62,4.100,474,200.60,4.86,1567,2503,1869,6454,ON
56,2026-05-21 14:52:04.078,30.8,5.61,4.102,485,200.51,4.95,1566,2502,1868,6446,ON
57,2026-05-21 14:52:04.578,30.9,5.62,4.081,494,200.43,5.03,1565,2500,1870,6405,ON
58,2026-05-21 14:52:05.078,30.9,5.62,4.110,503,200.35,5.11,1562,2492,1864,6459,ON
59,2026-05-21 14:52:05.578,30.9,5.62,4.095,512,200.26,5.20,1560,2491,1863,6420,ON
60,2026-05-21 14:52:06.078,30.9,5.62,4.095,520,200.18,5.28,1560,2490,1863,6398,ON
61,2026-05-21 14:52:06.578,31.0,5.63,4.094,529,200.09,5.38,1561,2492,1865,6438,ON
62,2026-05-21 14:52:07.078,31.0,5.63,4.098,538,200.00,5.46,1562,2494,1867,6454,ON
63,2026-05-21 14:52:07.578,31.0,5.63,4.097,546,199.92,5.54,1565,2499,1870,6450,ON
64,2026-05-21 14:52:08.078,31.0,5.62,4.084,555,199.83,5.63,1566,2499,1871,6465,ON
65,2026-05-21 14:52:08.578,31.1,5.66,4.084,563,199.74,5.72,1570,2505,1873,6477,ON
66,2026-05-21 14:52:09.078,31.1,5.67,4.098,571,199.66,5.80,1573,2511,1878,6484,ON
67,2026-05-21 14:52:09.578,31.1,5.67,4.085,579,199.57,5.89,1574,2514,1879,6547,ON
68,2026-05-21 14:52:10.078,31.1,5.68,4.089,588,199.49,5.97,1580,2522,1885,6503,ON
69,2026-05-21 14:52:10.578,31.2,5.70,4.076,597,199.40,6.06,1582,2523,1886,6559,ON
70,2026-05-21 14:52:11.078,31.2,5.71,4.083,606,199.31,6.15,1583,2527,1889,6536,ON
71,2026-05-21 14:52:11.578,31.2,5.71,4.084,614,199.24,6.23,1584,2530,1891,6537,ON
72,2026-05-21 14:52:12.078,31.2,5.73,4.077,624,199.14,6.32,1585,2530,1892,6527,ON
73,2026-05-21 14:52:12.578,31.2,5.75,4.077,635,199.06,6.40,1585,2530,1891,6483,ON
74,2026-05-21 14:52:13.078,31.3,5.77,4.068,646,198.98,6.48,1583,2528,1890,6538,ON
75,2026-05-21 14:52:13.578,31.3,5.79,4.072,657,198.89,6.57,1584,2529,1891,6538,ON
76,2026-05-21 14:52:14.078,31.3,5.79,4.076,669,198.81,6.65,1583,2527,1889,6532,ON
77,2026-05-21 14:52:14.578,31.3,5.79,4.072,680,198.76,6.70,1585,2529,1891,6488,ON
78,2026-05-21 14:52:15.078,31.3,5.79,4.083,690,198.62,6.84,1584,2528,1890,6505,ON
79,2026-05-21 14:52:15.578,31.4,5.79,4.073,701,198.54,6.92,1580,2525,1889,6536,ON
80,2026-05-21 14:52:16.078,31.4,5.80,4.070,710,198.45,7.01,1576,2518,1884,6462,ON
81,2026-05-21 14:52:16.578,31.4,5.80,4.072,720,198.36,7.10,1574,2514,1882,6493,ON
