SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-24 22:01:56.602,31.1,0.71,4.738,14061,199.59,0.12,1505,2081,1093,5066,ON
1,2026-05-24 22:01:57.102,31.1,0.73,4.718,14053,199.50,0.20,1494,2069,1086,5020,ON
2,2026-05-24 22:01:57.602,31.0,0.76,4.726,14047,199.42,0.29,1487,2059,1081,5004,ON
3,2026-05-24 22:01:58.102,31.0,0.78,4.727,14041,199.32,0.39,1485,2058,1082,4909,ON
4,2026-05-24 22:01:58.602,31.0,0.79,4.717,14014,199.23,0.48,1478,2052,1082,4971,ON
5,2026-05-24 22:01:59.102,31.1,0.82,4.732,13968,199.15,0.56,1474,2045,1078,5015,ON
6,2026-05-24 22:01:59.602,31.1,0.80,4.731,13910,199.06,0.65,1475,2049,1078,5039,ON
7,2026-05-24 22:02:00.102,31.1,0.79,4.717,13847,198.98,0.73,1479,2053,1081,5044,ON
8,2026-05-24 22:02:00.602,31.1,0.82,4.743,13787,198.89,0.82,1479,2054,1082,5053,ON
9,2026-05-24 22:02:01.102,31.1,0.80,4.739,13731,198.80,0.91,1477,2050,1080,5027,ON
10,2026-05-24 22:02:01.602,31.1,0.79,4.745,13673,198.73,0.98,1478,2052,1081,5081,ON
11,2026-05-24 22:02:02.102,31.1,0.79,4.740,13609,198.63,1.08,1482,2054,1083,4966,ON
12,2026-05-24 22:02:02.602,31.1,0.78,4.745,13539,198.55,1.16,1476,2048,1079,4907,ON
13,2026-05-24 22:02:03.102,31.1,0.77,4.730,13465,198.46,1.25,1477,2051,1080,4979,ON
14,2026-05-24 22:02:03.602,31.1,0.78,4.740,13394,198.38,1.33,1481,2054,1083,5066,ON
15,2026-05-24 22:02:04.102,31.1,0.79,4.731,13317,198.28,1.43,1483,2059,1086,5082,ON
16,2026-05-24 22:02:04.602,31.1,0.81,4.706,13234,198.21,1.50,1482,2059,1086,5073,ON
17,2026-05-24 22:02:05.102,31.1,0.85,4.706,13150,198.12,1.59,1479,2055,1086,5041,ON
18,2026-05-24 22:02:05.602,31.1,0.86,4.704,13077,198.04,1.67,1478,2054,1086,5063,ON
19,2026-05-24 22:02:06.102,31.2,0.84,4.725,13005,197.95,1.76,1481,2057,1087,5087,ON
20,2026-05-24 22:02:06.602,31.2,0.83,4.725,12928,197.86,1.85,1485,2066,1091,4981,ON
21,2026-05-24 22:02:07.102,31.2,0.81,4.740,12844,197.77,1.93,1481,2058,1085,4965,ON
22,2026-05-24 22:02:07.602,31.2,0.79,4.739,12769,197.69,2.02,1479,2055,1085,5018,ON
23,2026-05-24 22:02:08.102,31.2,0.77,4.740,12696,197.61,2.10,1483,2060,1087,5104,ON
24,2026-05-24 22:02:08.602,31.2,0.77,4.729,12618,197.52,2.19,1489,2067,1091,5172,ON
25,2026-05-24 22:02:09.102,31.2,0.78,4.732,12533,197.43,2.28,1489,2069,1094,5110,ON
26,2026-05-24 22:02:09.602,31.2,0.81,4.727,12446,197.35,2.36,1485,2065,1093,5066,ON
