SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-24 22:24:10.685,31.1,0.40,4.768,47223,193.42,0.12,1528,2442,1885,6418,ON
1,2026-05-24 22:24:11.185,31.1,0.43,4.770,47223,193.34,0.20,1535,2451,1893,6290,ON
2,2026-05-24 22:24:11.685,31.1,0.45,4.771,47223,193.25,0.29,1526,2435,1880,6368,ON
3,2026-05-24 22:24:12.185,31.1,0.47,4.767,47223,193.16,0.38,1530,2442,1886,6401,ON
4,2026-05-24 22:24:12.685,31.1,0.48,4.771,47223,193.08,0.46,1535,2451,1892,6409,ON
5,2026-05-24 22:24:13.185,31.1,0.49,4.770,47223,192.98,0.56,1541,2459,1898,6369,ON
6,2026-05-24 22:24:13.685,31.1,0.49,4.773,47223,192.91,0.63,1538,2455,1895,6215,ON
7,2026-05-24 22:24:14.185,31.1,0.49,4.770,47223,192.82,0.72,1540,2454,1895,6389,ON
8,2026-05-24 22:24:14.685,31.1,0.49,4.771,47223,192.73,0.81,1540,2452,1894,6492,ON
9,2026-05-24 22:24:15.185,31.1,0.50,4.775,47223,192.65,0.89,1546,2462,1901,6542,ON
10,2026-05-24 22:24:15.685,31.2,0.49,4.774,47223,192.55,0.99,1540,2456,1898,6391,ON
11,2026-05-24 22:24:16.185,31.2,0.48,4.772,47223,192.46,1.08,1532,2448,1890,6340,ON
12,2026-05-24 22:24:16.685,31.2,0.47,4.767,47223,192.37,1.17,1528,2443,1886,6355,ON
13,2026-05-24 22:24:17.185,31.2,0.47,4.774,47223,192.29,1.25,1535,2452,1893,6372,ON
14,2026-05-24 22:24:17.685,31.2,0.46,4.773,47223,192.20,1.34,1539,2458,1897,6395,ON
15,2026-05-24 22:24:18.185,31.2,0.46,4.771,47223,192.11,1.43,1539,2455,1896,6326,ON
16,2026-05-24 22:24:18.685,31.2,0.46,4.773,47223,192.03,1.51,1532,2445,1887,6378,ON
17,2026-05-24 22:24:19.185,31.2,0.46,4.774,47223,191.94,1.60,1535,2448,1889,6423,ON
18,2026-05-24 22:24:19.685,31.2,0.46,4.775,47223,191.86,1.68,1545,2461,1899,6467,ON
19,2026-05-24 22:24:20.185,31.2,0.46,4.774,47223,191.78,1.76,1551,2470,1907,6467,ON
20,2026-05-24 22:24:20.685,31.2,0.47,4.773,47223,191.69,1.85,1549,2468,1906,6447,ON
21,2026-05-24 22:24:21.185,31.2,0.48,4.777,47223,191.60,1.94,1550,2472,1909,6403,ON
