SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-24 22:47:18.075,31.9,0.40,4.773,47223,195.92,0.13,1380,2249,1746,5776,ON
1,2026-05-24 22:47:18.575,31.9,0.41,4.774,47223,195.83,0.21,1372,2239,1741,5817,ON
2,2026-05-24 22:47:19.075,31.9,0.43,4.776,47223,195.75,0.30,1376,2247,1748,5863,ON
3,2026-05-24 22:47:19.575,31.9,0.44,4.774,47223,195.66,0.39,1383,2256,1754,5730,ON
4,2026-05-24 22:47:20.075,31.9,0.44,4.778,47223,195.58,0.47,1377,2250,1750,5780,ON
5,2026-05-24 22:47:20.575,31.9,0.46,4.774,47223,195.49,0.56,1370,2241,1744,5867,ON
6,2026-05-24 22:47:21.075,31.9,0.47,4.777,47223,195.41,0.63,1375,2244,1747,5847,ON
7,2026-05-24 22:47:21.575,31.9,0.48,4.776,47223,195.33,0.72,1377,2247,1749,5831,ON
8,2026-05-24 22:47:22.075,31.9,0.48,4.772,47223,195.24,0.81,1377,2247,1748,5759,ON
9,2026-05-24 22:47:22.575,31.9,0.48,4.772,47223,195.16,0.89,1369,2235,1740,5745,ON
10,2026-05-24 22:47:23.075,31.9,0.47,4.772,47223,195.06,0.98,1372,2239,1743,5852,ON
11,2026-05-24 22:47:23.575,32.0,0.47,4.776,47223,194.98,1.07,1378,2246,1749,5795,ON
12,2026-05-24 22:47:24.075,32.0,0.47,4.763,47223,194.90,1.15,1379,2247,1749,5820,ON
13,2026-05-24 22:47:24.575,32.0,0.48,4.761,47223,194.81,1.24,1381,2249,1751,5804,ON
14,2026-05-24 22:47:25.075,32.0,0.49,4.752,47223,194.73,1.32,1386,2256,1755,5851,ON
15,2026-05-24 22:47:25.575,32.0,0.49,4.770,47223,194.64,1.41,1388,2258,1755,5902,ON
16,2026-05-24 22:47:26.075,32.0,0.49,4.771,47223,194.55,1.49,1389,2260,1758,5876,ON
17,2026-05-24 22:47:26.575,32.0,0.48,4.776,47223,194.47,1.58,1392,2263,1760,5824,ON
18,2026-05-24 22:47:27.075,32.0,0.46,4.775,47223,194.38,1.66,1386,2255,1755,5820,ON
19,2026-05-24 22:47:27.575,32.0,0.47,4.774,47223,194.30,1.75,1383,2250,1751,5794,ON
20,2026-05-24 22:47:28.075,32.0,0.47,4.774,47223,194.21,1.84,1385,2257,1757,5879,ON
21,2026-05-24 22:47:28.575,32.1,0.47,4.777,47223,194.12,1.92,1388,2262,1761,5958,ON
22,2026-05-24 22:47:29.075,32.1,0.49,4.772,47223,194.04,2.00,1401,2281,1774,5962,ON
23,2026-05-24 22:47:29.575,32.1,0.48,4.775,47223,193.95,2.09,1405,2285,1776,5919,ON
24,2026-05-24 22:47:30.075,32.1,0.48,4.775,47223,193.87,2.17,1405,2283,1775,5838,ON
25,2026-05-24 22:47:30.575,32.1,0.47,4.775,47223,193.78,2.27,1396,2267,1763,5875,ON
26,2026-05-24 22:47:31.075,32.1,0.47,4.774,47223,193.70,2.35,1395,2269,1765,5921,ON
27,2026-05-24 22:47:31.575,32.1,0.47,4.765,47223,193.61,2.44,1395,2268,1764,5858,ON
28,2026-05-24 22:47:32.075,32.1,0.48,4.758,47223,193.53,2.52,1392,2264,1761,5826,ON
29,2026-05-24 22:47:32.575,32.1,0.48,4.764,47223,193.43,2.62,1390,2261,1760,5873,ON
30,2026-05-24 22:47:33.075,32.1,0.48,4.773,47223,193.34,2.71,1393,2262,1760,5823,ON
31,2026-05-24 22:47:33.575,32.1,0.47,4.772,47223,193.26,2.79,1392,2255,1755,5939,ON
32,2026-05-24 22:47:34.075,32.1,0.47,4.774,47223,193.17,2.87,1398,2263,1760,5865,ON
33,2026-05-24 22:47:34.575,32.2,0.46,4.777,47223,193.08,2.96,1397,2266,1763,5888,ON
34,2026-05-24 22:47:35.075,32.2,0.46,4.775,47223,193.00,3.05,1400,2274,1769,5993,ON
35,2026-05-24 22:47:35.575,32.2,0.47,4.776,47223,192.91,3.14,1400,2274,1768,5877,ON
36,2026-05-24 22:47:36.075,32.2,0.47,4.777,47223,192.83,3.22,1394,2265,1763,5846,ON
37,2026-05-24 22:47:36.575,32.2,0.47,4.779,47223,192.74,3.31,1393,2264,1762,5941,ON
38,2026-05-24 22:47:37.075,32.2,0.46,4.778,47223,192.66,3.39,1394,2270,1767,5832,ON
39,2026-05-24 22:47:37.575,32.2,0.45,4.776,47223,192.56,3.49,1395,2276,1771,5924,ON
40,2026-05-24 22:47:38.075,32.2,0.45,4.777,47223,192.48,3.57,1397,2281,1775,6030,ON
41,2026-05-24 22:47:38.575,32.2,0.45,4.774,47223,192.39,3.66,1398,2278,1772,5918,ON
42,2026-05-24 22:47:39.075,32.2,0.45,4.774,47223,192.31,3.74,1395,2272,1771,5876,ON
43,2026-05-24 22:47:39.575,32.2,0.46,4.768,47223,192.23,3.82,1394,2269,1775,5883,ON
44,2026-05-24 22:47:40.075,32.3,0.47,4.759,47223,192.15,3.90,1392,2267,1769,5873,ON
45,2026-05-24 22:47:40.575,32.3,0.46,4.775,47223,192.06,3.99,1393,2265,1765,5905,ON
46,2026-05-24 22:47:41.075,32.3,0.46,4.774,47223,191.97,4.08,1397,2271,1768,5806,ON
47,2026-05-24 22:47:41.575,32.3,0.45,4.775,47223,191.89,4.16,1390,2261,1759,5833,ON
48,2026-05-24 22:47:42.075,32.3,0.45,4.778,47223,191.80,4.25,1388,2259,1757,5964,ON
49,2026-05-24 22:47:42.575,32.3,0.44,4.778,47223,191.71,4.34,1398,2272,1766,6023,ON
50,2026-05-24 22:47:43.075,32.3,0.45,4.779,47223,191.62,4.42,1404,2276,1770,5997,ON
51,2026-05-24 22:47:43.575,32.3,0.45,4.778,47223,191.54,4.50,1400,2273,1767,5869,ON
52,2026-05-24 22:47:44.075,32.4,0.46,4.776,47223,191.46,4.59,1397,2268,1771,5849,ON
53,2026-05-24 22:47:44.575,32.4,0.45,4.775,47223,191.37,4.68,1396,2268,1769,5851,ON
54,2026-05-24 22:47:45.075,32.4,0.45,4.779,47223,191.28,4.77,1396,2270,1767,5896,ON
55,2026-05-24 22:47:45.575,32.4,0.44,4.778,47223,191.20,4.85,1395,2266,1763,5989,ON
56,2026-05-24 22:47:46.075,32.4,0.44,4.777,47223,191.11,4.93,1402,2278,1771,5995,ON
57,2026-05-24 22:47:46.575,32.4,0.45,4.756,47223,191.03,5.02,1401,2274,1768,5904,ON
58,2026-05-24 22:47:47.075,32.4,0.46,4.767,47223,190.94,5.11,1397,2268,1763,5850,ON
59,2026-05-24 22:47:47.575,32.4,0.46,4.770,47223,190.86,5.18,1397,2269,1763,5959,ON
60,2026-05-24 22:47:48.075,32.4,0.46,4.771,47223,190.77,5.28,1398,2271,1765,5887,ON
61,2026-05-24 22:47:48.575,32.4,0.46,4.770,47223,190.68,5.36,1400,2273,1768,5956,ON
62,2026-05-24 22:47:49.075,32.4,0.46,4.770,47223,190.60,5.45,1402,2274,1768,5858,ON
63,2026-05-24 22:47:49.575,32.4,0.46,4.777,47223,190.52,5.53,1398,2269,1764,5842,ON
64,2026-05-24 22:47:50.075,32.5,0.45,4.776,47223,190.43,5.62,1401,2273,1767,5895,ON
65,2026-05-24 22:47:50.575,32.5,0.45,4.774,47223,190.35,5.70,1401,2274,1767,5947,ON
66,2026-05-24 22:47:51.075,32.5,0.45,4.776,47223,190.26,5.79,1404,2279,1771,6039,ON
67,2026-05-24 22:47:51.575,32.5,0.45,4.775,47223,190.18,5.87,1400,2274,1768,5915,ON
