SampleIndex,Timestamp,Temp,pH,Volt,EC,Weight,Weightloss,R,G,B,C,RelayStatus
0,2026-05-25 14:10:12.940,29.6,1.66,4.601,3187,197.37,0.12,1846,2714,2024,7051,ON
1,2026-05-25 14:10:13.440,29.6,1.68,4.611,3185,197.28,0.21,1838,2705,2017,7074,ON
2,2026-05-25 14:10:13.940,29.6,1.69,4.613,3180,197.19,0.29,1847,2722,2031,7507,ON
3,2026-05-25 14:10:14.440,29.6,1.69,4.614,3159,197.11,0.38,1864,2745,2048,7292,ON
4,2026-05-25 14:10:14.940,29.6,1.69,4.619,3126,197.02,0.47,1849,2721,2030,7045,ON
5,2026-05-25 14:10:15.440,29.6,1.72,4.603,3083,196.93,0.56,1840,2708,2020,7106,ON
6,2026-05-25 14:10:15.940,29.6,1.73,4.617,3040,196.85,0.64,1851,2725,2032,7164,ON
7,2026-05-25 14:10:16.440,29.6,1.73,4.608,2995,196.76,0.73,1859,2733,2038,6989,ON
8,2026-05-25 14:10:16.940,29.6,1.73,4.624,2947,196.68,0.81,1846,2717,2027,7095,ON
9,2026-05-25 14:10:17.440,29.6,1.73,4.614,2902,196.60,0.89,1844,2713,2023,7172,ON
10,2026-05-25 14:10:17.940,29.6,1.72,4.615,2855,196.51,0.98,1850,2721,2029,7189,ON
11,2026-05-25 14:10:18.440,29.6,1.72,4.610,2810,196.42,1.07,1853,2724,2030,7164,ON
12,2026-05-25 14:10:18.940,29.7,1.71,4.603,2770,196.33,1.16,1854,2725,2030,7098,ON
13,2026-05-25 14:10:19.440,29.6,1.73,4.608,2731,196.25,1.24,1848,2715,2025,7206,ON
14,2026-05-25 14:10:19.940,29.7,1.75,4.600,2698,196.16,1.33,1856,2727,2034,7114,ON
15,2026-05-25 14:10:20.440,29.7,1.75,4.599,2672,196.08,1.41,1851,2723,2030,7011,ON
16,2026-05-25 14:10:20.940,29.7,1.76,4.606,2651,195.99,1.50,1854,2727,2033,7168,ON
17,2026-05-25 14:10:21.440,29.7,1.74,4.615,2632,195.90,1.58,1858,2732,2038,7165,ON
18,2026-05-25 14:10:21.940,29.7,1.74,4.603,2618,195.82,1.67,1856,2726,2035,7210,ON
19,2026-05-25 14:10:22.440,29.7,1.77,4.595,2606,195.74,1.75,1862,2734,2040,7639,ON
20,2026-05-25 14:10:22.940,29.7,1.80,4.594,2599,195.65,1.84,1878,2761,2061,7238,ON
21,2026-05-25 14:10:23.440,29.7,1.81,4.602,2594,195.57,1.92,1872,2751,2051,7195,ON
22,2026-05-25 14:10:23.940,29.7,1.81,4.602,2592,195.48,2.01,1868,2743,2044,7046,ON
23,2026-05-25 14:10:24.440,29.7,1.78,4.609,2591,195.39,2.10,1863,2742,2045,7284,ON
24,2026-05-25 14:10:24.940,29.7,1.79,4.586,2592,195.29,2.20,1873,2755,2055,7063,ON
25,2026-05-25 14:10:25.440,29.8,1.83,4.583,2595,195.21,2.28,1883,2764,2062,7240,ON
26,2026-05-25 14:10:25.940,29.8,1.86,4.589,2601,195.12,2.37,1869,2746,2048,7141,ON
27,2026-05-25 14:10:26.440,29.8,1.85,4.600,2612,195.04,2.45,1870,2751,2052,7316,ON
28,2026-05-25 14:10:26.940,29.8,1.86,4.578,2623,194.95,2.54,1874,2758,2058,7170,ON
29,2026-05-25 14:10:27.440,29.8,1.88,4.580,2633,194.87,2.62,1866,2741,2044,7287,ON
30,2026-05-25 14:10:27.940,29.8,1.90,4.581,2646,194.78,2.71,1844,2710,2019,6989,ON
31,2026-05-25 14:10:28.440,29.8,1.90,4.582,2663,194.70,2.79,1840,2706,2015,7217,ON
32,2026-05-25 14:10:28.940,29.9,1.90,4.591,2681,194.61,2.88,1855,2729,2034,7248,ON
33,2026-05-25 14:10:29.440,29.9,1.88,4.576,2699,194.53,2.96,1870,2750,2050,6994,ON
34,2026-05-25 14:10:29.940,29.9,1.91,4.576,2715,194.44,3.05,1866,2742,2044,7168,ON
35,2026-05-25 14:10:30.440,29.9,1.92,4.586,2730,194.36,3.13,1879,2761,2058,7367,ON
36,2026-05-25 14:10:30.940,29.9,1.93,4.574,2746,194.27,3.22,1893,2781,2073,7382,ON
37,2026-05-25 14:10:31.440,29.9,1.95,4.573,2768,194.19,3.30,1896,2788,2078,7541,ON
38,2026-05-25 14:10:31.940,29.9,1.96,4.571,2793,194.10,3.39,1872,2748,2049,7149,ON
39,2026-05-25 14:10:32.440,29.9,1.96,4.576,2815,194.01,3.48,1864,2737,2041,7190,ON
40,2026-05-25 14:10:32.940,29.9,1.96,4.584,2838,193.93,3.56,1872,2747,2048,7183,ON
41,2026-05-25 14:10:33.440,29.9,1.98,4.571,2862,193.85,3.64,1877,2752,2050,7027,ON
42,2026-05-25 14:10:33.940,29.9,2.00,4.564,2889,193.76,3.73,1883,2763,2058,7362,ON
43,2026-05-25 14:10:34.440,29.9,2.02,4.556,2914,193.67,3.82,1880,2757,2052,7192,ON
44,2026-05-25 14:10:34.940,29.9,2.03,4.573,2941,193.59,3.90,1890,2772,2065,7434,ON
45,2026-05-25 14:10:35.440,30.0,2.04,4.557,2969,193.50,3.99,1896,2781,2072,7278,ON
46,2026-05-25 14:10:35.940,30.0,2.05,4.569,2998,193.42,4.07,1887,2766,2061,7301,ON
47,2026-05-25 14:10:36.440,30.0,2.05,4.558,3026,193.33,4.16,1886,2759,2055,7155,ON
48,2026-05-25 14:10:36.940,30.0,2.07,4.567,3052,193.25,4.24,1876,2750,2049,7201,ON
49,2026-05-25 14:10:37.440,30.0,2.07,4.560,3077,193.16,4.33,1869,2742,2043,6915,ON
50,2026-05-25 14:10:37.940,30.0,2.08,4.565,3105,193.07,4.42,1848,2713,2020,6971,ON
51,2026-05-25 14:10:38.440,30.0,2.09,4.554,3130,192.99,4.50,1824,2681,1996,7117,ON
52,2026-05-25 14:10:38.940,30.0,2.09,4.564,3154,192.91,4.58,1838,2699,2011,7216,ON
53,2026-05-25 14:10:39.440,30.0,2.08,4.556,3179,192.82,4.67,1852,2717,2025,7238,ON
54,2026-05-25 14:10:39.940,30.1,2.09,4.565,3206,192.74,4.75,1856,2724,2029,7212,ON
